organisation,dataset_id,dataset_name,date_created,last_updated,description,frequency,coverage_start,coverage_end,resource_id,resource_name,resource_description,resource_format
National Environment Agency,0d1ace9a-baa2-46ed-b5e3-09b9dcdc60e1,2nd Hand Goods Collection Points,20/10/2015,19/12/2017,Collection points for 2nd hand goods,Annual,na,na,04cf94e2-e550-435d-9d4a-f28a04302f62,2nd Hand Goods Collection Points (KML),na,KML
Infocomm Media Development Authority,6ed1bad5-0051-45e1-8619-0eab2a241e1a,3G Public Cellular Mobile Telephone Services - Average Success Rate Across All Cells,15/09/2015,28/03/2017,Cellular mobile call success rates from 2007 - 2016,Monthly,01/04/2013,31/12/2016,c9f714db-cc3b-49ad-bb0f-302ba33505ee,Call Success Rate 2013-2016,"For period 2013 - 2016, frequency of data collected was on a monthly basis",CSV
Infocomm Media Development Authority,6ed1bad5-0051-45e1-8619-0eab2a241e1a,3G Public Cellular Mobile Telephone Services - Average Success Rate Across All Cells,15/09/2015,28/03/2017,Cellular mobile call success rates from 2007 - 2016,Monthly,01/04/2013,31/12/2016,e9ec02c5-f3fe-49ec-960c-f7c05acf536c,Call Success Rate 2009 - 2011,"For period 2009 - 2011, frequency of data collected was on a semi-annual basis",CSV
Infocomm Media Development Authority,6ed1bad5-0051-45e1-8619-0eab2a241e1a,3G Public Cellular Mobile Telephone Services - Average Success Rate Across All Cells,15/09/2015,28/03/2017,Cellular mobile call success rates from 2007 - 2016,Monthly,01/04/2013,31/12/2016,c195d04f-22d8-474f-83b8-8c2c3cb6131a,Call Success Rate 2007 - 2008,"For period 2007 - 08, frequency of data collected was on a semi-annual basis",CSV
Infocomm Media Development Authority,e32d6a83-e791-4103-8601-3be37b2ae7e4,3G Public Cellular Mobile Telephone Services - Average Drop Call Rate,12/04/2016,28/03/2017,"This indicator measures the percentage of unintended disconnection of 3G mobile calls by the cellular network during a 100 second call. Under IDA's 3G PCMTS QoS framework, mobile operators are required to achieve <1% drop call rate (average across the entire month).",Monthly,01/04/2013,30/06/2016,b0f5648c-af96-4fee-a8fb-de7f9580d050,3G Public Cellular Mobile Telephone Services - Average Drop Call Rate,na,CSV
Infocomm Media Development Authority,f2f39aa0-7e35-4edc-80d8-c2a09e2c587a,3G Public Cellular Mobile Telephone Services  - Nation-wide Service Coverage,12/04/2016,28/03/2017,"This indicator measures Nation-Wide Outdoor Service Coverage for the 3G cellular network. Service coverage is determined by signal strength. The availability of service coverage is the ability of a cellular network to achieve the minimum signal strength of at least -100dBm. Under IDA's 3G Public Cellular Mobile Telephone Service (""PCMTS"") QoS framework, mobile operators are required to achieve Nation-Wide Outdoor Service Coverage of >99%. In order to better measure the end users' experience*, IDA has used mobile handsets to collect the signal strength sample readings for all service coverage indicators starting from Q2 2013.",Monthly,01/04/2013,30/06/2016,c7f2dc9d-a1b8-4fca-99fa-91a4ade199d4,3G Public Cellular Mobile Telephone Services  - Nation-wide Service Coverage,na,CSV
"PUB, Singapore's national water agency",da282d56-8660-4a7f-933d-ac5fb53be72c,ABC Waters Construction,14/06/2017,14/06/2017,The ABC Waters Construction layer represents linear ABC construction projects,Half Year,na,na,23d492f9-7313-40fe-830d-053438e7753d,ABC Waters Construction (KML),na,KML
"PUB, Singapore's national water agency",da282d56-8660-4a7f-933d-ac5fb53be72c,ABC Waters Construction,14/06/2017,14/06/2017,The ABC Waters Construction layer represents linear ABC construction projects,Half Year,na,na,150312a5-ebed-476f-9390-8ed6078cbce1,ABC Waters Construction (SHP),na,SHP
"PUB, Singapore's national water agency",a9ce3c62-852d-424d-9471-5751c44105da,ABC Waters Sites,09/11/2016,21/12/2017,The ABC Waters Sites layer shows all the ABC Waters sites around Singapore,Half Year,na,na,67b3d4aa-dd05-49ae-8909-6100f4980fb7,ABC Waters Sites (KML),na,KML
Infocomm Media Development Authority,84f5c403-a99f-40a7-9cec-42aad70537d4,Access to 2 or More Computers by Housing Type,15/09/2015,28/03/2017,To track the level of infocommunication adoption in households and by individuals,Annual,01/01/2006,31/12/2016,92a39f8c-75b3-4e8d-8cfe-d7f99a9d10cb,Access to 2 or More Computers by Housing Type,na,CSV
Ministry of Home Affairs - Singapore Prison Service,95c2dda2-cd18-44aa-bc79-923adc3380bb,Academic Programmes,30/03/2016,27/02/2017,Yearly enrolment of inmates in academic programmes and academic results.,Annual,01/01/2006,31/12/2016,f8cc2ed1-604b-4fd8-b2e7-d14d71509f55,Academic Result of Inmates,Yearly enrolment of inmates in academic programmes and academic results.,CSV
Ministry of Home Affairs - Singapore Prison Service,95c2dda2-cd18-44aa-bc79-923adc3380bb,Academic Programmes,30/03/2016,27/02/2017,Yearly enrolment of inmates in academic programmes and academic results.,Annual,01/01/2006,31/12/2016,c124847b-4ea1-4045-9d5f-a56be6e7a8aa,Yearly Enrolment of inmates in Academic Programmes,Yearly enrolment of inmates in academic programmes and academic results.,CSV
Housing and Development Board,fa31eceb-3f2b-40ff-9651-4c70a603e442,Active Cases for Home Office Scheme,06/06/2016,15/12/2017,"The Home Office Scheme lets property owners run an approved small-scale registered business from their home, subject to the eligibility criteria and conditions. All figures are as at 31 March of each financial year.",Annual,01/04/2008,31/03/2017,e0b1008a-32ba-4512-b0c4-002f96d66639,Active Cases for Home Office Scheme,na,CSV
Housing and Development Board,63a59a11-f701-40e8-8b24-9c068275db69,Active Cases of Renting Out of Flat,27/03/2016,03/01/2018,"Total number of flats rented out by Financial YearData can also be found in HDB's Annual Reports under Key Statistics: http://www.hdb.gov.sg/cs/infoweb/about-us/news-and-publications/annual-reports",Annual,01/04/2006,31/03/2017,0690b850-5249-4d62-b95b-1f3230e139fb,Active cases of renting out of flat,na,CSV
Land Transport Authority,4bf0b1c6-a862-4dc5-9b6b-7994770f1d7d,Annual Age Distribution of Cars,08/04/2016,07/06/2017,All cars (excluding road tax exempted cars) registered in Singapore.,Annual,01/01/2005,31/12/2016,fbbfc342-2d4b-4b3d-8c0e-335970e6a3e0,Annual Age Distribution of Cars,Figures exclude tax exempted vehicles and vehicles for off-the-road use (RU plates).,CSV
Housing and Development Board,24a3302f-9be4-41d0-b481-66465e20c61c,"Sample Household Survey: Age of HDB Resident Population, by Ethnic Group and Flat Type",28/06/2016,05/05/2017,"Data is derived from the Sample Household Survey (SHS) which is conducted once every 5 years.HDB resident population refers to Singapore citizens and Singapore permanent residents (SPRs) residing in HDB flats, excluding subtenants.",Other,01/01/2008,31/12/2013,6b14bb1a-4b77-444b-8c40-339e227bc246,Age of HDB Resident Population by Ethnic Group,na,CSV
Housing and Development Board,24a3302f-9be4-41d0-b481-66465e20c61c,"Sample Household Survey: Age of HDB Resident Population, by Ethnic Group and Flat Type",28/06/2016,05/05/2017,"Data is derived from the Sample Household Survey (SHS) which is conducted once every 5 years.HDB resident population refers to Singapore citizens and Singapore permanent residents (SPRs) residing in HDB flats, excluding subtenants.",Other,01/01/2008,31/12/2013,c784c6dc-1451-47ab-abd6-939cbe905115,Age of HDB Resident Population by Flat Type,na,CSV
Housing and Development Board,24a3302f-9be4-41d0-b481-66465e20c61c,"Sample Household Survey: Age of HDB Resident Population, by Ethnic Group and Flat Type",28/06/2016,05/05/2017,"Data is derived from the Sample Household Survey (SHS) which is conducted once every 5 years.HDB resident population refers to Singapore citizens and Singapore permanent residents (SPRs) residing in HDB flats, excluding subtenants.",Other,01/01/2008,31/12/2013,3c023b21-a94a-4b02-a812-4837f9d73333,HDB Resident Population Aged 15 Years and Above by Ethnic Group,na,CSV
